sales_quarter,country,sale_amount,sales_year
Q1,USA,170000,2024
Q2,USA,180000,2024
Q3,USA,190000,2024
Q4,USA,195000,2024
Q1,USA,160000,2025
Q1,China,140000,2024
Q2,China,145000,2024
Q3,China,150000,2024
Q4,China,155000,2024
Q1,China,125000,2025
Q1,Germany,25000,2024
Q2,Germany,25500,2024
Q3,Germany,26000,2024
Q4,Germany,27000,2024
Q1,Germany,18000,2025
Q1,Sweden,4500,2024
Q2,Sweden,5300,2024
Q3,Sweden,5500,2024
Q4,Sweden,5800,2024
Q1,Sweden,2200,2025
Q1,Europe_Total,75000,2024
Q2,Europe_Total,78000,2024
Q3,Europe_Total,80000,2024
Q4,Europe_Total,82000,2024
Q1,Europe_Total,59500,2025
Q1,Netherlands,4200,2024
Q1,Netherlands,1500,2025
Q1,United Kingdom,9000,2024
Q1,United Kingdom,7000,2025
Q1,Australia,6000,2024
Q1,Australia,4500,2025
Q1,Canada,10000,2024
Q1,Canada,8500,2025
Q1,Norway,3800,2024
Q1,Norway,1200,2025
Q1,Japan,7000,2024
Q1,Japan,2000,2025
