Country,Item,Tariff Rate,Effective Date
China,Lithium-ion EV Batteries,25%,"09-27-2024"
China,Battery Components,25%,"09-27-2024"
China,Natural Graphite,25%,"06-15-2024"
China,Synthetic Graphite,25%,"06-15-2024"
China,Electric Vehicles,100%,"09-27-2024"
Japan,Battery Cells,24%,"05-3-2025"
South Korea,Battery Cells,25%,"05-3-2025"
Mexico,General Goods,25%,"03-4-2025"
Canada,General Goods,25%,"03-4-2025"
Belgium,Nickel Sulfate,20%,"04-9-2025"
Australia,Nickel Sulfate,10%,"04-9-2025"
Indonesia,Nickel Sulfate,32%,"04-9-2025"
